Date,FB,TWTR,NFLX,Optimized portfolio daily worth in $
2017-09-01,2052567.507290115,2420.7105964608454,1606019.9176760884,3661008.1355626644
2017-09-05,2037055.6839257828,2390.5592550719934,1603997.9079599467,3643444.1511408016
2017-09-06,2053402.6619327706,2416.4031389106103,1647470.8824887513,3703289.9475604324
2017-09-07,2066766.7947833177,2472.398076983812,1645173.1546191715,3714412.347479473
2017-09-08,2039800.0293822952,2505.421104598532,1621460.5846232846,3663766.0351101784
2017-09-11,2070346.294882485,2535.5721588331176,1670356.2980243238,3743238.1650656415
2017-09-12,2063783.7587125679,2608.7964963758636,1701697.2050653668,3768089.7602743106
2017-09-13,2064857.6039694597,2613.103953926099,1687818.9746876622,3755289.682611048
2017-09-14,2039919.470146569,2614.539438096201,1678536.2092400286,3721070.218824694
2017-09-15,2048033.2328018537,2585.8241551859824,1675962.7632170103,3726581.82017405
2017-09-18,2028583.7898919876,2526.9575308869125,1696826.0311727691,3727936.7785956436
2017-09-19,2058533.5794316144,2549.929872076794,1706568.3789579647,3767651.888261656
2017-09-20,2054357.257339699,2529.829217112781,1705005.942388473,3761893.028945285
2017-09-21,2041709.2201961528,2524.085988238177,1735060.2596862237,3779293.5658706147
2017-09-22,2034907.802497688,2528.3934457884125,1721917.320608607,3759353.516552083
2017-09-25,1943388.2797113725,2437.939708776124,1641037.2720266622,3586863.491446811
2017-09-26,1959377.4962363238,2381.9446271257884,1648665.7469354905,3610425.18779894
2017-09-27,2000781.8698483107,2433.632538380153,1672470.170900692,3675685.673287383
2017-09-28,2013310.6571418927,2419.2746815593455,1660797.6765595803,3676527.6083830325
2017-09-29,2038845.4339753666,2422.146367785213,1666771.851738691,3708039.432081843
2017-10-02,2022140.5035720342,2453.733193344167,1626883.1948227584,3651477.4315881366
2017-10-03,2027987.32586357,2525.521759562545,1646919.4461818752,3677432.293805008
2017-10-04,2009611.7162784517,2548.494100752426,1695263.594603278,3707423.8049824825
2017-10-05,2043260.4466815197,2620.2826669708043,1786621.2730795958,3832502.0024280865
2017-10-06,2055073.1621323903,2562.8518139961025,1819984.327700452,3877620.3416468385
2017-10-09,2058294.8888173776,2537.007930157485,1809414.6967821817,3870246.593529717
2017-10-10,2047436.5897912707,2499.677875723929,1792963.0295723707,3842899.297239365
2017-10-11,2061158.663106019,2545.622558103691,1791768.1651256315,3855472.4507897543
2017-10-12,2058891.5318279604,2648.9982370352877,1800131.9313345484,3861672.461399544
2017-10-13,2073090.807389018,2674.8418337196385,1833494.9767644932,3909260.625987231
2017-10-16,2082397.8679976135,2631.768837565745,1862813.8740893938,3947843.510924573
2017-10-17,2101369.941611149,2624.59012452104,1833402.9849315067,3937397.5166671765
2017-10-18,2100415.3462042212,2587.25992651035,1797190.766134194,3900193.372264926
2017-10-19,2082875.0821760674,2568.5947557164395,1793422.602719021,3878866.2796508046
2017-10-20,2087886.5589106383,2565.72350022197,1784507.4093941397,3874959.691805
2017-10-23,2043618.3990778653,2493.9349340035915,1768974.741423045,3815087.075434914
2017-10-24,2049942.423615711,2476.7055345340477,1801602.5047438138,3854021.633894059
2017-10-25,2035623.886272545,2460.9119063888716,1780922.9539175949,3819007.7520965287
2017-10-26,2035981.8386688903,2916.0514162133895,1794157.894019109,3833055.7841042127
2017-10-27,2122489.884720635,3112.7522312288784,1833954.4120474719,3959557.048999336
2017-10-30,2146234.7325223605,3051.014064281073,1823201.0639996605,3972486.8105863025
2017-10-31,2148501.8757325634,2960.5606144230496,1805370.6773498983,3956833.1136968844
2017-11-01,2179525.5224612276,2959.124843098682,1819800.4727072401,4002285.120011566
2017-11-02,2134899.2312499443,2829.9051367513366,1831932.5401950022,3969661.676581698
2017-11-03,2134899.2312499443,2857.184935491452,1838274.1588241046,3976030.5750095407
2017-11-06,2149814.411603694,2783.960454371574,1839377.1601106182,3991975.5321686836
2017-11-07,2150769.007010622,2822.72642370663,1800407.640297075,3953999.3737314036
2017-11-08,2142535.803591064,2812.6760244360576,1805462.669182884,3950811.1487983842
2017-11-09,2139433.5057382057,2857.184935491452,1782117.680500662,3924408.371174359
2017-11-10,2129410.5522690634,2917.48733111489,1764838.858830536,3897166.8984307144
2017-11-13,2133109.4812003598,2895.9507612493767,1792963.0295723707,3928968.4615339795
2017-11-14,2124757.0159986936,2878.721361779833,1798753.3497582693,3926389.0871187425
2017-11-15,2123325.0393632906,2858.62070681582,1765757.8672601646,3891941.527330271
2017-11-16,2142893.744055265,2923.2305599894926,1796915.0571716677,3942732.0317869224
2017-11-17,2135853.826656873,2980.661269387063,1775684.0700385727,3914518.5579648325
2017-11-20,2132751.5288040144,3033.78466481153,1783955.9730872633,3919741.2865560893
2017-11-21,2169979.7712383945,3141.467514139097,1803532.522626969,3976653.7613795027
2017-11-22,2158166.8768053595,3197.462739366565,1804359.8057600441,3965724.14530477
2017-11-24,2180957.320114466,3218.9993092320783,1799120.9218810212,3983297.241304719
2017-11-27,2183940.356185216,3132.8530297700245,1792687.3114189324,3979760.5206339182
2017-11-28,2176661.736240442,3134.288801094392,1830645.6839152765,4010441.708956813
2017-11-29,2089676.4879423873,2984.968726937298,1729269.9395003251,3821931.3961696494
2017-11-30,2114137.2405368043,2954.8173855484465,1724031.193484975,3841123.2514073276
2017-12-01,2089318.5355460409,2973.4822691880922,1717046.1467160094,3809338.1645312384
2017-12-04,2046004.7921380324,2928.9735017098305,1691495.2841335211,3740429.0497732633
2017-12-05,2062232.5202950554,2982.0970407114305,1693057.8677575958,3758272.4850933626
2017-12-06,2100773.298600566,3028.0417230911926,1703075.924505318,3806877.2648289753
2017-12-07,2149456.4592073476,3016.5555524962515,1702156.7782120174,3854629.792971861
2017-12-08,2135853.826656873,3029.4774944155592,1732854.385785958,3871737.689937246
2017-12-11,2136331.028903182,3165.8756266533464,1711531.5446835489,3851028.4492133847
2017-12-12,2111512.3358445647,3108.4449172557756,1707027.9521046153,3821648.7328664353
2017-12-13,2127501.3614552063,3109.8806885801437,1726604.639507993,3857215.8816517796
2017-12-14,2128575.2067120993,3241.9716504219587,1742229.1614484014,3874046.3398109227
2017-12-15,2149933.673385802,3191.7196540690948,1747376.0443035255,3900501.437343397
2017-12-18,2157570.4127769414,3543.483628539148,1750133.3453197558,3911247.2417252366
2017-12-19,2141939.160580481,3600.9144815138498,1718884.301438939,3864424.3765009334
2017-12-20,2122609.134570599,3618.143880983394,1735427.9696726485,3861655.2481242307
2017-12-21,2117358.967221791,3596.607023963615,1733589.677086047,3854545.2513318015
2017-12-22,2114375.931151041,3511.8965158259284,1745721.7445738087,3863609.5722406753
2017-12-26,2099938.132025766,3483.18123291571,1725685.4932146925,3829106.8064733744
2017-12-27,2119387.4078856125,3478.8739189426074,1711715.3996767614,3834581.6814813167
2017-12-28,2122967.086966945,3490.359945960415,1771180.6153233107,3897638.062236216
2017-12-29,2105546.2637030655,3447.286949806521,1764287.4317145713,3873280.982367443
2018-01-02,2164729.5919574425,3519.075516024899,1848016.6352820604,4016265.302755528
2018-01-03,2203509.0608771904,3510.461031655826,1884596.4262021263,4091615.9481109725
2018-01-04,2199452.179549548,3444.4154071577855,1889927.1732413745,4092823.7681980804
2018-01-05,2229521.230871283,3491.795860861915,1929999.547286847,4163012.5740189916
2018-01-08,2246584.113670962,3530.5616866198393,1948932.8065503621,4199047.481907943
2018-01-09,2241691.8867863547,3470.259290996403,1923749.66314521,4168911.8092225613
2018-01-10,2241333.934390009,3481.745461591342,1953252.5441360832,4198068.223987684
2018-01-11,2240498.7797473534,3496.1031748350183,1996633.6555046623,4240628.538426851
2018-01-12,2140268.6603808613,3648.29493521798,2033305.3095849536,4177222.2649010327
2018-01-16,2128575.2067120993,3540.6120858904133,2036062.6106011842,4168178.4293991737
2018-01-17,2119148.8962535392,3526.2542290696038,1999023.2465344686,4121698.3970170775
2018-01-18,2145399.5778797055,3451.5944073567557,2025033.544399935,4173884.7166869976
2018-01-19,2163178.3535399307,3397.0349534536563,2026228.4088466736,4192803.797340058
2018-01-22,2211861.526078857,3348.218728425159,2091667.6526177502,4306877.397425032
2018-01-23,2259351.591578781,3266.3797629362075,2300393.1695721815,4563011.140913899
2018-01-24,2225941.55178995,3211.820596187373,2401585.0589939198,4630738.431380058
2018-01-25,2237038.3624481293,3181.6692547985217,2478788.935993679,4719008.967696607
2018-01-26,2267107.4137698654,3484.6170042400777,2523824.3470919747,4794416.37786608
2018-01-29,2219140.1460236306,3615.2721947575255,2615641.4608512707,4838396.879069659
2018-01-30,2232742.7785741063,3678.4462766068314,2562426.0098645096,4798847.234715223
2018-01-31,2229998.4331175927,3705.7256446155498,2484303.2622987945,4718007.421061003
2018-02-01,2303977.6918757553,3896.6832307564364,2436234.9698945023,4744109.345001014
2018-02-02,2270448.402236961,3721.519272760726,2457925.3923105756,4732095.313820297
2018-02-05,2162820.4130757297,3608.0931945585558,2336881.1065229317,4503309.61279322
2018-02-06,2211145.63321831,3623.8868227037315,2442209.007209941,4656978.527250955
2018-02-07,2149933.673385802,3863.660633873115,2431547.5223223562,4585344.856342032
2018-02-08,2047317.3399413063,4333.157856941308,2298647.0158731495,4350297.513671397
2018-02-09,2101369.941611149,4524.115443082194,2292856.6956872507,4398750.752741482
2018-02-12,2104949.620692482,4443.712392494742,2370795.726123425,4480189.059208402
2018-02-13,2066050.7110084607,4801.219165108002,2373736.6064055236,4444588.536579092
2018-02-14,2142058.58941261,4845.7282197405275,2444782.4532329584,4591686.770865309
2018-02-15,2147308.7686935626,4825.627564776515,2575936.6589285503,4728071.05518689
2018-02-16,2116285.1219648984,4746.660141936299,2559852.5638414915,4680884.345948326
2018-02-20,2100176.6555899833,4715.073029223081,2560128.2819949295,4665020.010614136
2018-02-21,2122847.837116981,4792.60482431606,2583013.844585086,4710654.286526384
2018-02-22,2135734.5648747636,4610.26186612138,2556360.2564434283,4696705.083184313
2018-02-23,2187042.6421059296,4689.229145384464,2627957.2546594846,4819689.125910798
2018-02-26,2206611.358730049,4617.440579166085,2703598.5572260786,4914827.356535293
2018-02-27,2165206.9851180613,4496.83578791921,2670970.6468507266,4840674.467756707
