Date,FB,TWTR,NFLX,portfolio daily worth in $,portfolio daily % return
2016-02-25,740432.724823967,136207.50428216803,660910.4997809464,1537550.7288870814,1.6793016372147358
2016-02-26,739404.9984467203,138917.7238788857,662728.3147982092,1541051.0371238152,0.22765481300687818
2016-02-29,732553.5806173137,140311.54711770263,653080.007206815,1525945.1349418312,-0.9802337377597343
2016-03-01,752422.7060254285,138220.80451601476,687268.6427426974,1577912.1532841406,3.405562700279546
2016-03-02,753313.3697889978,143563.80134160887,682444.4644766016,1579321.6356072081,0.08932577901335707
2016-03-03,750778.3794492065,149526.25193184539,684681.751065586,1584986.3824466378,0.35868227925920676
2016-03-04,742625.1716779593,149913.4405406639,710200.8949515545,1602739.5071701775,1.1200805836663008
2016-03-07,724400.427657409,148442.17493400577,667622.3735309843,1540464.9761223989,-3.8855054591953984
2016-03-08,725770.6906690369,141937.6664861933,672796.1498936646,1540504.507048895,0.0025661684691805904
2016-03-09,736595.9445423349,136749.5466528191,685171.1590363261,1558516.6502314801,1.1692366429417758
2016-03-10,735294.161451912,128618.91883651594,680696.5788668148,1544609.6591552428,-0.8923222651597429
2016-03-11,749613.6521210432,130167.59583716544,682794.0625731862,1562575.310531395,1.1631191912899024
2016-03-14,752902.298422069,132568.08467983067,686080.0385787879,1571550.4216806877,0.5743794291899088
2016-03-15,758246.3974775884,125366.66461260973,684192.3500863882,1567805.4121765862,-0.2383003085638441
2016-03-16,768592.052102828,129315.83045592443,694609.7273460886,1592517.609904841,1.576228627374545
2016-03-17,760644.386866463,130477.3420781428,697196.6190232001,1588318.3479678058,-0.26368700169577214
2016-03-18,763590.4965331077,130477.3420781428,706984.7924210895,1601052.63103234,0.8017462671023873
2016-03-21,766331.070516288,130787.0728321952,706565.2649170285,1603683.4082655117,0.16431547484328782
2016-03-22,769071.6513508864,130554.78444598393,698035.5691581854,1597662.0049550557,-0.3754733184505925
2016-03-23,771058.5693728321,123972.83363033032,696287.6835483988,1591319.086551561,-0.397012533553558
2016-03-24,774552.8061686652,123198.48738654313,687688.1213059613,1585439.4148611696,-0.3694841430660404
2016-03-28,778937.7067280675,120798.01403080282,707614.0032744429,1607349.724033313,1.3819707626016131
2016-03-29,795723.6598558602,123663.09513281543,728029.2932136649,1647416.0482023405,2.492694873427371
2016-03-30,785857.604478679,126683.05322704796,714465.7358394336,1627006.3935451605,-1.2388889060204895
2016-03-31,781746.760632453,128154.29560331874,714745.4045285418,1624646.4607643136,-0.14504754192789526
2016-04-01,795175.5395780896,123740.52975719416,739006.0148431244,1657922.0841784081,2.0481762782064026
2016-04-04,771127.0972539618,132335.77306323205,729567.4395418196,1633030.3098590137,-1.5013838440863605
2016-04-05,768866.1156674221,132026.02682225473,733692.4775470856,1634584.6200367624,0.09517950575473276
2016-04-06,779074.714530402,133652.1616776703,732923.4078787796,1645650.2840868519,0.6769710123566779
2016-04-07,778595.1152823437,131483.99219506615,730266.5867941916,1640345.6942716015,-0.3223400418998382
2016-04-08,757972.3339129944,128928.64959056838,725792.0066246806,1612692.9901282433,-1.6857851512596798
2016-04-11,746736.0155241854,127844.56484926632,717891.5776515304,1592472.158024982,-1.253855025540433
2016-04-12,757835.3329620773,128309.17259553862,747955.2311144861,1634099.736672102,2.614022382579507
2016-04-13,757150.1980305547,134503.95028929866,766622.6424354642,1658276.7907553175,1.479533564606828
2016-04-14,759411.1248057518,135742.90427935816,772006.1021474368,1667160.1312325466,0.5356970878898258
2016-04-15,751189.4439647176,136130.06965778928,779626.911372276,1666946.424994783,-0.012818578957117762
2016-04-18,756739.0787037011,134039.32705610144,757883.2143865314,1648661.620146334,-1.0969041700609123
2016-04-19,769345.7149154805,131019.38444879382,659582.0857428814,1559947.1851071557,-5.380997164918779
2016-04-20,770236.3786790497,134736.24641897235,676571.540861549,1581544.165959571,1.3844687216722522
2016-04-21,777224.8522707159,135588.02728713828,664056.721844732,1576869.601402586,-0.29556965006720054
2016-04-22,757492.7415163536,133419.85780453414,670488.9338972041,1561401.5332180918,-0.9809351496620782
2016-04-25,754341.0893148265,132335.77306323205,654128.6966234322,1540805.559001491,-1.319069680567817
2016-04-26,745160.2168290932,137446.45827222755,646228.267650282,1528834.9427516027,-0.7769063513533586
2016-04-27,746050.8805926626,115067.85182677755,636510.030651411,1497628.763070851,-2.041173890530435
2016-04-28,799766.0237808812,113364.29009044572,631196.4444145751,1544326.758285902,3.1181288959286397
